행정구역,인구수,,,,
서울특별시 도봉구 도봉제1동(1132052100),"21,333",,,,
서울특별시 도봉구 도봉제2동(1132052200),"27,401",,,,
서울특별시 도봉구 쌍문제1동(1132066000),"21,690",,,,
서울특별시 도봉구 쌍문제2동(1132067000),"18,921",,,,
서울특별시 도봉구 쌍문제3동(1132068000),"16,734",,,,
서울특별시 도봉구 쌍문제4동(1132068100),"18,928",,,,
서울특별시 도봉구 방학제1동(1132069000),"28,717",,,,
서울특별시 도봉구 방학제2동(1132070000),"19,946",,,,
서울특별시 도봉구 방학제3동(1132071000),"27,592",,,,
서울특별시 노원구 월계1동(1135056000),"21,973",,,,
서울특별시 노원구 월계2동(1135057000),"27,195",,,,
서울특별시 노원구 월계3동(1135058000),"30,259",,,,
서울특별시 노원구 공릉1동(1135059500),"37,312",,,,
서울특별시 노원구 공릉2동(1135060000),"39,315",,,,
서울특별시 노원구 하계1동(1135061100),"27,164",,,,
서울특별시 노원구 하계2동(1135061200),"22,418",,,,
서울특별시 노원구 중계본동(1135061900),"24,571",,,,
서울특별시 노원구 중계1동(1135062100),"27,121",,,,
서울특별시 노원구 중계4동(1135062400),"20,450",,,,
서울특별시 노원구 중계2.3동(1135062500),"34,931",,,,
서울특별시 노원구 상계1동(1135063000),"38,725",,,,
서울특별시 노원구 상계2동(1135064000),"20,304",,,,
서울특별시 노원구 상계3.4동(1135066500),"26,842",,,,
서울특별시 노원구 상계5동(1135067000),"24,375",,,,
서울특별시 노원구 상계6.7동(1135069500),"33,125",,,,
서울특별시 노원구 상계8동(1135070000),"22,740",,,,
서울특별시 노원구 상계9동(1135071000),"20,862",,,,
서울특별시 노원구 상계10동(1135072000),"18,596",,,,
서울특별시 은평구 (1138000000),"475,501",,,,
서울특별시 은평구 녹번동(1138051000),"37,143",,,,
서울특별시 은평구 불광제1동(1138052000),"39,168",,,,
서울특별시 은평구 불광제2동(1138053000),"28,161",,,,
서울특별시 은평구 갈현제1동(1138055100),"22,791",,,,
서울특별시 은평구 갈현제2동(1138055200),"28,612",,,,
서울특별시 은평구 구산동(1138056000),"32,323",,,,
서울특별시 은평구 대조동(1138057000),"27,186",,,,
서울특별시 은평구 응암제1동(1138058000),"30,773",,,,
서울특별시 은평구 응암제2동(1138059000),"27,572",,,,
서울특별시 은평구 응암제3동(1138060000),"24,897",,,,
서울특별시 은평구 역촌동(1138062500),"46,127",,,,
서울특별시 은평구 신사제1동(1138063100),"27,309",,,,
서울특별시 은평구 신사제2동(1138063200),"20,591",,,,
서울특별시 은평구 증산동(1138064000),"15,144",,,,
서울특별시 은평구 수색동(1138065000),"11,230",,,,
서울특별시 은평구 진관동(1138069000),"56,474",,,,
서울특별시 서대문구 (1141000000),"308,482",,,,
서울특별시 서대문구 천연동(1141052000),"17,366",,,,
서울특별시 서대문구 북아현동(1141055500),"16,366",,,,
서울특별시 서대문구 충현동(1141056500),"20,597",,,,
서울특별시 서대문구 신촌동(1141058500),"19,229",,,,
서울특별시 서대문구 연희동(1141061500),"35,723",,,,
서울특별시 서대문구 홍제제1동(1141062000),"24,004",,,,
서울특별시 서대문구 홍제제3동(1141064000),"15,576",,,,
서울특별시 서대문구 홍제제2동(1141065500),"14,003",,,,
서울특별시 서대문구 홍은제1동(1141066000),"22,867",,,,
서울특별시 서대문구 홍은제2동(1141068500),"26,772",,,,
서울특별시 서대문구 남가좌제1동(1141069000),"15,634",,,,
서울특별시 서대문구 남가좌제2동(1141070000),"29,704",,,,
서울특별시 서대문구 북가좌제1동(1141071000),"18,330",,,,
서울특별시 서대문구 북가좌제2동(1141072000),"32,311",,,,
서울특별시 마포구 (1144000000),"368,518",,,,
서울특별시 마포구 아현동(1144055500),"25,549",,,,
서울특별시 마포구 공덕동(1144056500),"37,549",,,,
서울특별시 마포구 도화동(1144058500),"21,443",,,,
서울특별시 마포구 용강동(1144059000),"21,735",,,,
서울특별시 마포구 대흥동(1144060000),"14,415",,,,
서울특별시 마포구 염리동(1144061000),"12,535",,,,
서울특별시 마포구 신수동(1144063000),"22,839",,,,
서울특별시 마포구 서강동(1144065500),"24,868",,,,
서울특별시 마포구 서교동(1144066000),"25,034",,,,
서울특별시 마포구 합정동(1144068000),"17,735",,,,
서울특별시 마포구 망원제1동(1144069000),"20,601",,,,
서울특별시 마포구 망원제2동(1144070000),"18,794",,,,
서울특별시 마포구 연남동(1144071000),"15,404",,,,
서울특별시 마포구 성산제1동(1144072000),"19,134",,,,
서울특별시 마포구 성산제2동(1144073000),"39,978",,,,
서울특별시 마포구 상암동(1144074000),"30,905",,,,
서울특별시 양천구 (1147000000),"452,677",,,,
서울특별시 양천구 목1동(1147051000),"31,274",,,,
서울특별시 양천구 목2동(1147052000),"30,212",,,,
서울특별시 양천구 목3동(1147053000),"22,242",,,,
서울특별시 양천구 목4동(1147054000),"25,768",,,,
서울특별시 양천구 목5동(1147055000),"41,823",,,,
서울특별시 양천구 신월1동(1147056000),"20,689",,,,
서울특별시 양천구 신월2동(1147057000),"20,987",,,,
서울특별시 양천구 신월3동(1147058000),"15,452",,,,
서울특별시 양천구 신월4동(1147059000),"18,225",,,,
서울특별시 양천구 신월5동(1147060000),"14,903",,,,
서울특별시 양천구 신월6동(1147061000),"13,789",,,,
서울특별시 양천구 신월7동(1147061100),"20,239",,,,
서울특별시 양천구 신정1동(1147062000),"20,600",,,,
서울특별시 양천구 신정2동(1147063000),"19,742",,,,
서울특별시 양천구 신정3동(1147064000),"49,213",,,,
서울특별시 양천구 신정4동(1147065000),"33,175",,,,
서울특별시 양천구 신정6동(1147067000),"24,854",,,,
서울특별시 양천구 신정7동(1147068000),"29,490",,,,
서울특별시 강서구 (1150000000),"577,320",,,,
서울특별시 강서구 염창동(1150051000),"41,954",,,,
서울특별시 강서구 등촌제1동(1150052000),"24,192",,,,
서울특별시 강서구 등촌제2동(1150053000),"20,668",,,,
서울특별시 강서구 등촌제3동(1150053500),"31,106",,,,
서울특별시 강서구 화곡제1동(1150054000),"52,083",,,,
서울특별시 강서구 화곡제2동(1150055000),"18,202",,,,
서울특별시 강서구 화곡제3동(1150056000),"21,494",,,,
서울특별시 강서구 화곡제4동(1150057000),"20,952",,,,
서울특별시 강서구 화곡본동(1150059000),"34,467",,,,
서울특별시 강서구 화곡제6동(1150059100),"24,822",,,,
서울특별시 강서구 화곡제8동(1150059300),"24,826",,,,
서울특별시 강서구 가양제1동(1150060300),"34,130",,,,
서울특별시 강서구 가양제2동(1150060400),"14,254",,,,
서울특별시 강서구 가양제3동(1150060500),"15,314",,,,
서울특별시 강서구 발산제1동(1150061100),"36,768",,,,
서울특별시 강서구 우장산동(1150061500),"43,308",,,,
서울특별시 강서구 공항동(1150062000),"28,768",,,,
서울특별시 강서구 방화제1동(1150063000),"43,653",,,,
서울특별시 강서구 방화제2동(1150064000),"23,215",,,,
서울특별시 강서구 방화제3동(1150064100),"23,144",,,,
서울특별시 구로구 (1153000000),"401,074",,,,
서울특별시 구로구 신도림동(1153051000),"35,853",,,,
서울특별시 구로구 구로제1동(1153052000),"21,128",,,,
서울특별시 구로구 구로제2동(1153053000),"24,239",,,,
서울특별시 구로구 구로제3동(1153054000),"23,687",,,,
서울특별시 구로구 구로제4동(1153055000),"20,058",,,,
서울특별시 구로구 구로제5동(1153056000),"29,349",,,,
서울특별시 구로구 가리봉동(1153059500),"9,093",,,,
서울특별시 구로구 고척제1동(1153072000),"22,804",,,,
서울특별시 구로구 고척제2동(1153073000),"27,087",,,,
서울특별시 구로구 개봉제1동(1153074000),"34,328",,,,
서울특별시 구로구 개봉제2동(1153075000),"31,400",,,,
서울특별시 구로구 개봉제3동(1153076000),"20,520",,,,
서울특별시 구로구 오류제1동(1153077000),"22,766",,,,
서울특별시 구로구 오류제2동(1153078000),"38,602",,,,
서울특별시 구로구 수궁동(1153079000),"23,828",,,,
서울특별시 구로구 항동(1153080000),"16,332",,,,
서울특별시 금천구 (1154500000),"229,844",,,,
서울특별시 금천구 가산동(1154551000),"23,210",,,,
서울특별시 금천구 독산제1동(1154561000),"42,081",,,,
서울특별시 금천구 독산제2동(1154562000),"18,856",,,,
서울특별시 금천구 독산제3동(1154563000),"24,445",,,,
서울특별시 금천구 독산제4동(1154564000),"15,405",,,,
서울특별시 금천구 시흥제1동(1154567000),"33,246",,,,
서울특별시 금천구 시흥제2동(1154568000),"21,550",,,,
서울특별시 금천구 시흥제3동(1154569000),"10,950",,,,
서울특별시 금천구 시흥제4동(1154570000),"20,604",,,,
서울특별시 금천구 시흥제5동(1154571000),"19,497",,,,
서울특별시 영등포구 (1156000000),"377,590",,,,
서울특별시 영등포구 영등포본동(1156051500),"21,243",,,,
서울특별시 영등포구 영등포동(1156053500),"28,442",,,,
서울특별시 영등포구 여의동(1156054000),"33,516",,,,
서울특별시 영등포구 당산제1동(1156055000),"20,593",,,,
서울특별시 영등포구 당산제2동(1156056000),"37,240",,,,
서울특별시 영등포구 도림동(1156058500),"17,987",,,,
서울특별시 영등포구 문래동(1156060500),"32,891",,,,
서울특별시 영등포구 양평제1동(1156061000),"17,397",,,,
서울특별시 영등포구 양평제2동(1156062000),"22,252",,,,
서울특별시 영등포구 신길제1동(1156063000),"17,239",,,,
서울특별시 영등포구 신길제3동(1156065000),"16,721",,,,
서울특별시 영등포구 신길제4동(1156066000),"12,283",,,,
서울특별시 영등포구 신길제5동(1156067000),"10,937",,,,
서울특별시 영등포구 신길제6동(1156068000),"19,102",,,,
서울특별시 영등포구 신길제7동(1156069000),"19,995",,,,
서울특별시 영등포구 대림제1동(1156070000),"14,794",,,,
서울특별시 영등포구 대림제2동(1156071000),"12,230",,,,
서울특별시 영등포구 대림제3동(1156072000),"22,728",,,,
서울특별시 동작구 (1159000000),"388,730",,,,
서울특별시 동작구 노량진제1동(1159051000),"31,920",,,,
서울특별시 동작구 노량진제2동(1159052000),"12,696",,,,
서울특별시 동작구 상도제1동(1159053000),"44,621",,,,
서울특별시 동작구 상도제2동(1159054000),"28,535",,,,
서울특별시 동작구 상도제3동(1159055000),"24,809",,,,
서울특별시 동작구 상도제4동(1159056000),"28,792",,,,
서울특별시 동작구 흑석동(1159060500),"31,807",,,,
서울특별시 동작구 사당제1동(1159062000),"22,900",,,,
서울특별시 동작구 사당제2동(1159063000),"27,024",,,,
서울특별시 동작구 사당제3동(1159064000),"24,835",,,,
서울특별시 동작구 사당제4동(1159065000),"14,279",,,,
서울특별시 동작구 사당제5동(1159065100),"14,614",,,,
서울특별시 동작구 대방동(1159066000),"38,494",,,,
서울특별시 동작구 신대방제1동(1159067000),"23,492",,,,
서울특별시 동작구 신대방제2동(1159068000),"19,912",,,,
서울특별시 관악구 (1162000000),"490,352",,,,
서울특별시 관악구 보라매동(1162052500),"24,383",,,,
서울특별시 관악구 청림동(1162054500),"15,333",,,,
서울특별시 관악구 성현동(1162056500),"29,848",,,,
서울특별시 관악구 행운동(1162057500),"29,086",,,,
서울특별시 관악구 낙성대동(1162058500),"16,902",,,,
서울특별시 관악구 청룡동(1162059500),"35,200",,,,
서울특별시 관악구 은천동(1162060500),"33,664",,,,
서울특별시 관악구 중앙동(1162061500),"15,192",,,,
서울특별시 관악구 인헌동(1162062500),"25,970",,,,
서울특별시 관악구 남현동(1162063000),"18,166",,,,
서울특별시 관악구 서원동(1162064500),"22,648",,,,
서울특별시 관악구 신원동(1162065500),"18,100",,,,
서울특별시 관악구 서림동(1162066500),"23,497",,,,
서울특별시 관악구 신사동(1162068500),"22,596",,,,
서울특별시 관악구 신림동(1162069500),"21,805",,,,
서울특별시 관악구 난향동(1162071500),"15,540",,,,
서울특별시 관악구 조원동(1162072500),"17,360",,,,
서울특별시 관악구 대학동(1162073500),"23,639",,,,
서울특별시 관악구 삼성동(1162074500),"23,079",,,,
서울특별시 관악구 미성동(1162076500),"31,040",,,,
서울특별시 관악구 난곡동(1162077500),"27,304",,,,
서울특별시 서초구 (1165000000),"421,315",,,,
서울특별시 서초구 서초1동(1165051000),"20,801",,,,
서울특별시 서초구 서초2동(1165052000),"22,083",,,,
서울특별시 서초구 서초3동(1165053000),"32,128",,,,
서울특별시 서초구 서초4동(1165053100),"31,241",,,,
서울특별시 서초구 잠원동(1165054000),"27,813",,,,
서울특별시 서초구 반포본동(1165055000),"11,467",,,,
서울특별시 서초구 반포1동(1165056000),"32,089",,,,
서울특별시 서초구 반포2동(1165057000),"15,889",,,,
서울특별시 서초구 반포3동(1165058000),"22,352",,,,
서울특별시 서초구 반포4동(1165058100),"19,211",,,,
서울특별시 서초구 방배본동(1165059000),"21,008",,,,
서울특별시 서초구 방배1동(1165060000),"17,062",,,,
서울특별시 서초구 방배2동(1165061000),"19,954",,,,
서울특별시 서초구 방배3동(1165062000),"20,529",,,,
서울특별시 서초구 방배4동(1165062100),"23,633",,,,
서울특별시 서초구 양재1동(1165065100),"43,885",,,,
서울특별시 서초구 양재2동(1165065200),"22,249",,,,
서울특별시 서초구 내곡동(1165066000),"17,921",,,,
서울특별시 강남구 (1168000000),"534,796",,,,
서울특별시 강남구 신사동(1168051000),"16,384",,,,
서울특별시 강남구 논현1동(1168052100),"22,712",,,,
서울특별시 강남구 논현2동(1168053100),"21,628",,,,
서울특별시 강남구 압구정동(1168054500),"26,904",,,,
서울특별시 강남구 청담동(1168056500),"26,738",,,,
서울특별시 강남구 삼성1동(1168058000),"13,183",,,,
서울특별시 강남구 삼성2동(1168059000),"29,806",,,,
서울특별시 강남구 대치1동(1168060000),"24,556",,,,
서울특별시 강남구 대치2동(1168061000),"36,753",,,,
서울특별시 강남구 대치4동(1168063000),"20,087",,,,
서울특별시 강남구 역삼1동(1168064000),"35,507",,,,
서울특별시 강남구 역삼2동(1168065000),"36,399",,,,
서울특별시 강남구 도곡1동(1168065500),"21,911",,,,
서울특별시 강남구 도곡2동(1168065600),"33,777",,,,
서울특별시 강남구 개포1동(1168066000),"6,538",,,,
서울특별시 강남구 개포2동(1168067000),"22,107",,,,
서울특별시 강남구 개포4동(1168069000),"23,705",,,,
서울특별시 강남구 세곡동(1168070000),"43,973",,,,
서울특별시 강남구 일원본동(1168072000),"23,665",,,,
서울특별시 강남구 일원1동(1168073000),"15,486",,,,
서울특별시 강남구 일원2동(1168074000),"17,928",,,,
서울특별시 강남구 수서동(1168075000),"15,049",,,,
서울특별시 송파구 (1171000000),"661,411",,,,
서울특별시 송파구 풍납1동(1171051000),"13,524",,,,
서울특별시 송파구 풍납2동(1171052000),"25,358",,,,
서울특별시 송파구 거여1동(1171053100),"12,769",,,,
서울특별시 송파구 거여2동(1171053200),"19,045",,,,
서울특별시 송파구 마천1동(1171054000),"19,334",,,,
서울특별시 송파구 마천2동(1171055000),"19,215",,,,
서울특별시 송파구 방이1동(1171056100),"16,004",,,,
서울특별시 송파구 방이2동(1171056200),"26,116",,,,
서울특별시 송파구 오륜동(1171056600),"18,341",,,,
서울특별시 송파구 오금동(1171057000),"39,052",,,,
서울특별시 송파구 송파1동(1171058000),"24,506",,,,
서울특별시 송파구 송파2동(1171059000),"19,772",,,,
서울특별시 송파구 석촌동(1171060000),"32,095",,,,
서울특별시 송파구 삼전동(1171061000),"31,059",,,,
서울특별시 송파구 가락본동(1171062000),"26,836",,,,
서울특별시 송파구 가락1동(1171063100),"27,327",,,,
서울특별시 송파구 가락2동(1171063200),"32,786",,,,
서울특별시 송파구 문정1동(1171064100),"20,469",,,,
서울특별시 송파구 문정2동(1171064200),"29,209",,,,
서울특별시 송파구 장지동(1171064600),"29,816",,,,
서울특별시 송파구 위례동(1171064700),"31,987",,,,
서울특별시 송파구 잠실본동(1171065000),"28,278",,,,
서울특별시 송파구 잠실2동(1171067000),"35,585",,,,
서울특별시 송파구 잠실3동(1171068000),"34,802",,,,
서울특별시 송파구 잠실4동(1171069000),"21,397",,,,
서울특별시 송파구 잠실6동(1171071000),"16,982",,,,
서울특별시 송파구 잠실7동(1171072000),"9,747",,,,
서울특별시 강동구 (1174000000),"464,900",,,,
서울특별시 강동구 강일동(1174051500),"40,642",,,,
서울특별시 강동구 상일동(1174052000),"37,880",,,,
서울특별시 강동구 명일제1동(1174053000),"26,036",,,,
서울특별시 강동구 명일제2동(1174054000),"17,455",,,,
서울특별시 강동구 고덕제1동(1174055000),"25,370",,,,
서울특별시 강동구 고덕제2동(1174056000),"22,540",,,,
서울특별시 강동구 암사제1동(1174057000),"34,959",,,,
서울특별시 강동구 암사제2동(1174058000),"15,343",,,,
서울특별시 강동구 암사제3동(1174059000),"18,130",,,,
서울특별시 강동구 천호제1동(1174060000),"27,174",,,,
서울특별시 강동구 천호제2동(1174061000),"33,849",,,,
서울특별시 강동구 천호제3동(1174062000),"26,428",,,,
서울특별시 강동구 성내제1동(1174064000),"20,191",,,,
서울특별시 강동구 성내제2동(1174065000),"24,057",,,,
서울특별시 강동구 성내제3동(1174066000),"23,364",,,,
서울특별시 강동구 길동(1174068500),"46,160",,,,
서울특별시 강동구 둔촌제1동(1174069000),134,,,,
서울특별시 강동구 둔촌제2동(1174070000),"25,188",,,,
부산광역시  (2600000000),"3,372,399",,,,
부산광역시 중구 (2611000000),"41,370",,,,
부산광역시 중구 중앙동(2611051000),"2,506",,,,
부산광역시 중구 동광동(2611052000),"2,832",,,,
부산광역시 중구 대청동(2611053000),"6,453",,,,
부산광역시 중구 보수동(2611054500),"10,788",,,,
부산광역시 중구 부평동(2611056000),"4,701",,,,
부산광역시 중구 광복동(2611057000),"1,058",,,,
부산광역시 중구 남포동(2611058000),997,,,,
부산광역시 중구 영주제1동(2611059000),"4,737",,,,
부산광역시 중구 영주제2동(2611060000),"7,298",,,,
부산광역시 서구 (2614000000),"106,451",,,,
부산광역시 서구 동대신제1동(2614051000),"4,488",,,,
부산광역시 서구 동대신제2동(2614052000),"7,475",,,,
부산광역시 서구 동대신제3동(2614053000),"7,688",,,,
부산광역시 서구 서대신제1동(2614054000),"13,749",,,,
부산광역시 서구 서대신제3동(2614056000),"8,627",,,,
부산광역시 서구 서대신제4동(2614057000),"7,862",,,,
부산광역시 서구 부민동(2614059000),"7,786",,,,
부산광역시 서구 아미동(2614061500),"6,852",,,,
부산광역시 서구 초장동(2614063000),"4,503",,,,
부산광역시 서구 충무동(2614064000),"9,953",,,,
부산광역시 서구 남부민제1동(2614065000),"4,958",,,,
부산광역시 서구 남부민제2동(2614066000),"9,408",,,,
부산광역시 서구 암남동(2614068000),"13,102",,,,
부산광역시 동구 (2617000000),"88,218",,,,
부산광역시 동구 초량제1동(2617051000),"4,816",,,,
