상호,대표자,업종,법인설립등기일,사업자등록일,대표번호,대표팩스 번호,주소,사업자유형,법인등록번호,사업자등록번호,2020년 자산,2020년 부채,2020년 자본,2020년 매출액,2020년 영업이익,2020년 당기순이익,2019년 자산,2019년 부채,2019년 자본,2019년 매출액,2019년 영업이익,2019년 당기순이익,2018년 자산,2018년 부채,2018년 자본,2018년 매출액,2018년 영업이익,2018년 당기순이익,2017년 자산,2017년 부채,2017년 자본,2017년 매출액,2017년 영업이익,2017년 당기순이익,2020년 개점,2020년 폐지,2020년 명의변경,2019년 개점,2019년 폐지,2019년 명의변경,2018년 개점,2018년 폐지,2018년 명의변경,2017년 개점,2017년 폐지,2017년 명의변경,공정거래위원회의 시정조치,민사소송 패소 및 민사상 화해,형의 선고,
(주)푸름에프앤에스,원묵,분식,2011.12.09,2012.01.01,02  -  1688  -  0255,02  -  6291  -  2904,우 : 08510 서울특별시 금천구 디지털로9길 99 스타밸리 1014호,법인,110111  -  4746793,109  -  86  -  34117,0,0,0,0,0,0,3464924,2887404,577520,7507132,225317,134539,3453553,2891860,561693,8382777,239957,151953,3588697,3178746,409951,9121611,253083,145954,0,0,0,8,6,5,8,6,6,14,7,6,0,0,0,
(주)디엔에이글로벌푸드컴퍼니,권대윤,기타 외식,2020.11.10,2020.11.13,  -  1544  -  3429,070  -  4046  -  5183,"우 : 06178 서울특별시 강남구 테헤란로 504 4층(대치동, 해성1빌딩)",법인,110111  -  7679206,750  -  86  -  02053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
단F&B,김대우,중식,..,2020.08.11,070  -  4175  -  3653,00  -  000  -  0000,우 : 12804 경기도 광주시 곤지암읍 곤지암로 120 103동 7층 5호,개인,  -  ,875  -  04  -  01774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
브링커인터내셔널잉크,Wyman T. Roberts,기타 외국식,1983.09.30,1983.09.30,972  -  980  -  9917,972  -  770  -  9345,"우 : 미합중국 텍사스주 75019 달라스, 올림푸스 불르바드 3000",법인,  -  ,111  -  11  -  11111,0,0,0,0,0,0,2356000000,2835100000,-479100000,3078500000,62600000,24400000,1258300000,2036500000,-778200000,3217900000,230700000,154900000,1347340000,2065649000,-718309000,3135417000,226106000,125882000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
아키푸드,박정기,한식,..,2019.09.27,02  -  1522  -  7293,032  -  561  -  0797,우 : 21397 인천광역시 부평구 부흥로360번길 36 403호,개인,  -  ,739  -  30  -  00712,0,0,0,0,0,0,0,0,0,48936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(주)에스비에프앤비,"한주윤, 홍희상",한식,2020.06.29,2020.06.29,0  -  1688  -  4369,032  -  815  -  3007,우 : 22136 인천광역시 미추홀구 미추홀대로733번길 15 -,법인,120111  -  1083005,123  -  88  -  01713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
트릴리원,황재원,패스트푸드,..,2020.11.16,032  -  746  -  5050,  -    -  ,우 : 22361 인천광역시 중구 운서로7번길 10 102호,개인,  -  ,562  -  16  -  01338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(주)피티스트,임태준,한식,2019.12.06,2019.12.06,032  -  466  -  9005,032  -  466  -  9006,우 : 21618 인천광역시 남동구 서창남로 16-8 .,법인,120111  -  1037937,152  -  87  -  01499,0,0,0,0,0,0,614392,127600,486792,0,-13208,-13208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(주)충만,이구현,치킨,2014.07.25,2014.07.25,062  -  959  -  6767,062  -  959  -  6769,우 : 62295 광주광역시 광산구 수등로 273-18 (신가동),법인,200111  -  0403398,410  -  86  -  94655,0,0,0,0,0,0,4795516,2023665,2771851,10065468,-5856,15689,4485858,1729697,2756161,21529995,-1114549,-1124837,5960181,2079183,3880998,21831290,-820383,-796032,0,0,0,10,32,29,24,5,28,21,8,32,0,0,0,
(주)다니엘푸드,박형진,기타 외식,2020.09.08,2020.09.11,02  -  1877  -  3478,02  -  111  -  1111,우 : 07048 서울특별시 동작구 양녕로25바길 10 201호(상도동),법인,110111  -  7615622,871  -  87  -  01926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
마약떡복이,김찬수,분식,..,2015.11.04,031  -  469  -  5022,0  -  0  -  0,"우 : 13992 경기도 안양시 만안구 만안로 222-1 1층(안양동, 학림사빌딩)",개인,  -  ,648  -  50  -  00092,0,0,0,0,0,0,0,0,0,748177,0,0,0,0,0,598260,0,0,0,0,0,470422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(주)에스에스피씨,김영창,분식,2018.04.10,2018.04.20,0  -  1600  -  1725,055  -  383  -  1726,우 : 18469 경기도 화성시 동탄기흥로 614 20층 2015호,법인,234111  -  0099436,216  -  86  -  00991,0,0,0,0,0,0,654027,311636,342391,2449786,201547,209987,473733,341329,132404,731952,37758,32403,0,0,0,247603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(주)에스에스피씨,김영창,커피,2018.04.10,2018.04.20,0  -  1600  -  1725,055  -  383  -  1726,우 : 18469 경기도 화성시 동탄기흥로 614 20층 2015호,법인,234111  -  0099436,216  -  86  -  00991,0,0,0,0,0,0,654027,311636,342391,2449786,201547,209987,473733,341329,132404,731952,37758,32403,0,0,0,247603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
한냥노가리본사,김동한,주점,..,2013.08.20,02  -  2661  -  0114,0  -  0  -  0,우 : 10379 경기도 고양시 일산서구 중앙로 1496 1101동 1103호,개인,  -  ,110  -  11  -  37663,0,0,0,0,0,0,48411,338,48073,217938,14163,15800,61632,802,60830,240370,15261,19009,67031,2775,64256,235969,13668,18100,0,0,0,1,2,0,2,0,0,1,0,0,0,0,0,
에이와이푸드,박종범,한식,..,2020.10.05,0  -  0  -  0,0  -  0  -  0,우 : 12939 경기도 하남시 하남대로 990 지하3층 비311호,개인,  -  ,210  -  40  -  99028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
