번호,상호,영업표지,대표자,등록번호,업종,링크
233,유한회사번지농장푸드,번지농장돌판아구찜,심종만,20100400037,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77978
232,아맛나찜닭분식야식,영 아맛나,차정윤,20180173,치킨,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77974
231,가마고개,가마고개,이종철,20190217,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77962
230,국수평천하,국수평천하,이현정,20181326,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77955
229,"춘하추동F&C,동진여관",춘하추동,조혜숙,20130100257,분식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=76951
228,(주)정다정에프앤비,수유다래함박스텍,정성욱,20190877,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78518
227,(주)네오에프앤비,네오피자,서일영,20160718,피자,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78394
226,(주)시골애,시골애,정윤희,20110500001,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78359
225,홍이F&B,막창품은뒷고기,홍 성란,20180645,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78349
224,홍이F&B,꿀꿀이 생막창,홍성란,20160492,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78348
223,(주)삼교리,삼교리동치미막국수,"최환성,최재순",20150123,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78304
222,더피그컴퍼니,플레이스38커피,김용환,20180659,커피,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78295
221,에코푸드(주),심민속촌,김광산,20170685,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78162
220,컴퍼니(S.Y.COMPANY),곱선,이동현,20200559,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78134
219,송기원진주냉면,송기원진주냉면,송기원,20180598,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78087
218,(주)그루나무,전진만구구찜닭,김동근,20190663,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78070
217,(주)그루나무,무꼬뭐꼬떡볶이,김동근,20190178,분식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78064
216,알리바바파트너스(주),알리바바버거,박미연,20180860,패스트푸드,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78019
215,알리바바파트너스(주),알리바바쏙쏙김밥,박미연,20180526,분식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78018
214,알리바바파트너스(주),알리바바치킨,박미연,20170771,치킨,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78017
213,제이에이치푸드,제이에이치 곰포차,장해진 외 1명,20191127,주점,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77887
212,에이피씨(주),아필코(APILCO),공지애,20171307,커피,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77868
211,(주)오색만찬,최프로배달삼겹,남재우,20200556,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77853
210,농업회사법인㈜진국본가,진국본가,강정임,20180539,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77763
209,신국푸드,신국 떡볶이,이철민,20180472,분식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77754
208,(주)참살드림,참살가마,윤신덕,20191394,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77625
207,태성수산,박달재찜,김완수,20190819,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78069
