업종,브랜드,상호,가맹사업 개시일,가맹사업 년수,가맹점수,가맹본부 임직원수
한식,토정삼계탕,(주)우리모메,2016-04-01,4년 11개월,11,6명
한식,섬진강다슬기마을,(주)어업회사법인섬진강다슬기마을,가맹사업 개시 전,0년 0개월,0,12명
한식,청연,청연,2019-11-01,1년 4개월,1,1명
한식,미식가의구이,(주)태인에프앤비,2018-03-01,3년 0개월,39,6명
한식,시래정각,시래푸드식품,가맹사업 개시 전,0년 0개월,0,2명
한식,직화삼겹 피그킹,직화삼겹피그킹,가맹사업 개시 전,0년 0개월,0,1명
한식,소문난대구왕뽈찜,소문난대구왕뽈찜,가맹사업 개시 전,0년 0개월,0,14명
한식,삼훈국민생아구찜,(주)백경푸드시스템,2015-09-24,5년 6개월,11,3명
한식,김진호 대왕족발,대왕보쌈식족발,가맹사업 개시 전,0년 0개월,0,4명
한식,꽃길따라한식비빔밥전문점,꽃길따라한식비빔밥전문점,2019-08-14,1년 7개월,4,2명
한식,마마찜갈비,(주)찌니호야프랜드,가맹사업 개시 전,0년 0개월,0,2명
한식,직화삼겹통,직화삼겹통,가맹사업 개시 전,0년 0개월,0,1명
한식,2020돈우회관,올바른컴퍼니,가맹사업 개시 전,0년 0개월,0,0명
한식,브라이트스타,(주)브라이트스타,가맹사업 개시 전,0년 0개월,0,0명
한식,서민반찬,서민에프엔씨,가맹사업 개시 전,0년 0개월,0,0명
한식,1992 남산식당,(주)에스엠제이컴퍼니,가맹사업 개시 전,0년 0개월,0,12명
한식,봉춘회관,농부의마음,2019-09-04,1년 6개월,3,6명
한식,응곱 1978,태승에프앤씨,가맹사업 개시 전,0년 0개월,0,0명
한식,곱꾸아 한우곱창,태승에프앤씨,가맹사업 개시 전,0년 0개월,0,0명
한식,씅's 꼬기가득 비빔밥,태승에프앤씨,가맹사업 개시 전,0년 0개월,0,0명
한식,괸당집,(주)제주소나이,2019-04-02,1년 11개월,6,2명
한식,큰정할매순대국,(주)휴앤지,2015-08-25,5년 7개월,10,4명
한식,철뚝집,(주)브라더푸드시스템,2018-06-30,2년 9개월,15,6명
한식,에그폭탄덮밥,(주)산들그린,2020-08-14,0년 7개월,0,25명
한식,죽향갈비안창집,(주)제이슨코리아,가맹사업 개시 전,0년 0개월,0,0명
한식,대패꽃필무렵,(주)다담에프앤비,가맹사업 개시 전,0년 0개월,0,0명
한식,명륜진사갈비,(주)명륜당,2017-07-01,3년 8개월,454,30명
한식,수왕초장집,(주)장집,가맹사업 개시 전,0년 0개월,0,0명
한식,두근돼지김치찜,두근돼지,2020-09-11,0년 6개월,0,1명
한식,세꼬시공장,세공,2019-04-08,1년 11개월,4,2명
한식,오풍미족발,오풍미(주),2020-03-05,1년 0개월,0,0명
한식,일품투가리감자탕,(주)좋은우리,2019-01-01,2년 2개월,6,3명
한식,육분삼십,(주)편백가,2018-06-25,2년 9개월,10,3명
한식,후원,(주)이랜드이츠,2006-11-09,14년 4개월,0,0명
한식,광안국밥,(주)정담에프엔씨,2020-07-09,0년 8개월,0,0명
한식,동방축산,동방축산,가맹사업 개시 전,0년 0개월,0,2명
한식,소제이,소제이,가맹사업 개시 전,0년 0개월,0,0명
한식,1954 무한등심,(주)거성엔터프라이즈,가맹사업 개시 전,0년 0개월,0,0명
한식,소곰집,우진정육상회,가맹사업 개시 전,0년 0개월,0,6명
한식,더다함감자탕,더다함감자탕,가맹사업 개시 전,0년 0개월,0,4명
한식,프로키친,프로키친,가맹사업 개시 전,0년 0개월,0,1명
한식,남포동 직화 쭈꾸미,(주)이엔지스토리,가맹사업 개시 전,0년 0개월,0,0명
한식,장충미도왕족발보쌈,(주)미도식품,2004-01-10,17년 2개월,1,13명
한식,오래오래장충동왕족발보쌈,(주)미도식품,2010-05-01,10년 10개월,4,13명
한식,뚱뚱이할머니족발보쌈,(주)미도식품,2004-11-10,16년 4개월,6,13명
한식,한산주사골순댓국,한산주(주),가맹사업 개시 전,0년 0개월,0,10명
한식,마시온,마시온푸드,가맹사업 개시 전,0년 0개월,0,0명
한식,오마이양대창,(주)행복한구이세상,2020-04-26,0년 11개월,0,8명
한식,냅다청양집,(주)신영국푸드,2020-09-02,0년 6개월,0,0명
한식,화평동왕냉면,해피브릿지협동조합,2004-03-04,17년 0개월,22,112명
한식,흑도리,해피브릿지협동조합,2018-02-07,3년 1개월,7,112명
한식,안국밥,올림엔터프라이즈(OLIMENTERPRISE),2019-10-25,1년 5개월,1,1명
한식,마선생마약국밥,올림엔터프라이즈(OLIMENTERPRISE),2019-06-01,1년 9개월,2,1명
한식,싸가지고가게,이솔푸드,2020-04-01,0년 11개월,0,2명
한식,유담떡갈비,유담식품,가맹사업 개시 전,0년 0개월,0,0명
한식,정온달집,(주)밥재이,2020-09-01,0년 6개월,0,0명
한식,산들바람,(주)강산면옥,가맹사업 개시 전,0년 0개월,0,12명
한식,삼청동샤브,(주)삼청동,가맹사업 개시 전,0년 0개월,0,0명
한식,빤닭빤닭,빤닭빤닭,2016-09-12,4년 6개월,3,2명
한식,돼지새마을본부,돼지새마을푸드,2017-09-25,3년 6개월,3,1명
한식,오복오봉집,(주)조은음식드림,가맹사업 개시 전,0년 0개월,0,2명
한식,해운대31cm해물칼국수,(주)미스터탁누들,가맹사업 개시 전,0년 0개월,0,0명
한식,숨쉬는 순두부,(주)에스앤에스숨,2019-03-20,2년 0개월,9,7명
한식,박가부대,원앤원(주),2008-07-14,12년 8개월,127,227명
한식,백억하누,100푸드,가맹사업 개시 전,0년 0개월,0,1명
한식,장충동왕족발보쌈,(주)장충동왕족발,2001-01-22,20년 2개월,96,134명
한식,일품낙성불백,(주)심플맨,가맹사업 개시 전,0년 0개월,0,6명
한식,진명인면옥,(유)명인푸드,가맹사업 개시 전,0년 0개월,0,0명
한식,목촌국민삼겹,(주)행운식품,2018-10-12,2년 5개월,3,24명
한식,맛있는 고기에 솜씨를 더하다,(주)더하다F&C,2020-01-02,1년 2개월,0,4명
한식,통달배,(주)톰앤드,2018-03-20,3년 0개월,28,9명
한식,인생극장,(주)에이치티코리아,2013-11-25,7년 4개월,108,22명
한식,반궁,(주)이랜드이츠,2019-07-03,1년 8개월,1,9455명
한식,한양장터국밥,(주)화인에프앤비,가맹사업 개시 전,0년 0개월,0,8명
한식,족도리,(주)미산푸드,가맹사업 개시 전,0년 0개월,0,0명
한식,작렬곱창,작렬곱창,2018-06-28,2년 9개월,1,3명
한식,본가낙곱새,본가푸드,가맹사업 개시 전,0년 0개월,0,0명
한식,삶다 오로지 족발,(유)케이앤에스오로지,2018-01-12,3년 2개월,9,5명
한식,서민돼지,(주)푸드리아,가맹사업 개시 전,0년 0개월,0,5명
한식,막창로2가 항아리 곱창집,(주)지에프코리아,2020-08-21,0년 7개월,0,9명
한식,꽃돼지식당,딜리셔스피플,2018-06-15,2년 9개월,4,1명
한식,천년설렁탕,(주)라이또에프앤씨,가맹사업 개시 전,0년 0개월,0,28명
한식,바른고기 엘베요타,바른고기엘베요타,2020-06-01,0년 9개월,0,0명
한식,가장맛있는족발,(주)가장맛있는족발,2013-01-11,8년 2개월,406,17명
한식,한식의민족,오늘의Recipe,2018-08-02,2년 7개월,9,1명
한식,밥도둑이야게장n김치찌개,오늘의Recipe,2019-08-02,1년 7개월,10,1명
한식,목포집게장순살비빔밥,오늘의Recipe,2019-08-02,1년 7개월,10,1명
