업종,브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,"가맹점
평균매출액","가맹점
면적(3.3㎡)당
평균매출액"
한식,코봉이 해물찜,코봉이해물찜,0,0,0,0,0,0,0
한식,배달삼겹 돼지되지,정담유통(주),116,28,8,32,18,"251,514",0
한식,정성88사골곰탕&육개장,도깨비Food(푸드),0,0,0,0,0,0,0
한식,마왕찜닭도리,도깨비Food(푸드),0,0,0,0,0,0,0
한식,마약돼지김치찌개,도깨비Food(푸드),0,0,0,0,0,0,0
한식,냉면왕,도깨비Food(푸드),0,0,0,0,0,0,0
한식,내가찜한갈비찜,도깨비Food(푸드,0,0,0,0,0,0,0
한식,오복집,(주)오복이야기,0,0,0,0,0,0,0
한식,듬박이찌개,(주)듬박이스트,0,0,0,0,0,0,0
한식,황금곱창,(주)더황금푸드,1,1,0,0,0,0,0
한식,청년찌개,청년찌개,0,0,0,0,0,0,0
한식,한마음정육식당,(주)지피에프씨,39,12,1,3,3,"512,633","10,778"
한식,종일가,종일F&B,0,0,0,0,0,0,0
한식,쌍교숯불갈비,(유)쌍교프라임,0,0,0,0,0,0,0
한식,명가 가마솥국밥,명가,0,0,0,0,0,0,0
한식,청춘얼큰이,청춘얼큰이,3,1,0,0,0,0,0
한식,곽만근찐주막,푸드마스터트레이딩(FMT),0,0,0,0,0,0,0
한식,육화미,육화미,0,0,0,0,0,0,0
한식,고기이불볶음밥,단F&B,0,0,0,0,0,0,0
한식,우겹다짐,(주)아이언가이즈,0,0,0,0,0,0,0
한식,장모님상다리,(주)동의보감농수산,0,0,0,0,0,0,0
한식,설해국,(주)동의보감농수산,0,0,0,0,0,0,0
한식,본가집밥상,비에스에프엔씨,0,0,0,0,0,0,0
한식,매우당,매우당,0,0,0,0,0,0,0
한식,구구족,(주)거북이꿈,0,0,0,0,0,0,0
한식,동태랑,(주)음식의전당,0,0,0,0,0,0,0
한식,제주등뼈가,(주)푸드윈,0,0,0,0,0,0,0
한식,明(명)가람갈비,(주)명가람푸드,0,0,0,0,0,0,0
한식,불량꽃게,밀포유,0,0,0,0,0,0,0
한식,동춘돌곱창,(주)모두가족,1,1,0,0,0,0,0
한식,서해물총칼국수,(주)디딤,0,0,0,0,0,0,0
한식,석쇠꾼,(주)휴링크에프씨,16,20,0,5,0,"262,445","11,987"
한식,김형제고기의철학,(주)킴스브라더스,27,15,0,0,0,"948,717","18,644"
한식,도리삼도리,(주)이노에프앤에스,0,0,0,0,0,0,0
한식,급냉삼겹살,급냉삼겹살,0,0,0,0,0,0,0
한식,삼남면촌닭,SSF&C,0,0,0,0,0,0,0
한식,삼겹식당,삼겹식당,0,0,0,0,0,0,0
한식,육회왕자연어공주,케이씨컴퍼니,0,0,0,0,0,0,0
한식,둥지닭볶음탕,둥지닭볶음탕,0,0,0,0,0,0,0
한식,불밤매운오징어볶음,(주)푸드박스,0,0,0,0,0,0,0
한식,오륙칼국수,약콩세가,0,0,0,0,0,0,0
한식,돼지게티,멀티웨이,0,0,0,0,0,0,0
한식,불막열삼,(주)꿈을실현하는사람들,79,14,0,7,3,"208,789","8,297"
한식,김진오 김실장왕족발,서남시장김실장왕족발,0,0,0,0,0,0,0
한식,빅몬스터 부대찌개,온다(ONDA),0,0,0,0,0,0,0
한식,배가네 마약 쭈꾸미,㈜명진인터내셔널,0,0,0,0,0,0,0
한식,일미삼겹살,일미삼겹살원주혁신도시점,0,0,0,0,0,0,0
한식,임창정세겹살,(주)하그사,0,0,0,0,0,0,0
한식,정성갈비찜도시락,이본홀딩스,0,0,0,0,0,0,0
한식,사백집 서울대패,(주)길품에프엔비,1,1,0,0,0,0,0
한식,육백집 서울고깃집,(주)길품에프엔비,1,0,0,0,0,0,0
한식,팔백집,(주)길품에프엔비,9,3,0,3,0,"408,305","13,444"
한식,권사부 순대국,서가네순대국,0,0,0,0,0,0,0
한식,한솥,(주)한솥,727,33,4,19,40,"352,657","27,417"
한식,이을감자탕,이을감자탕봉덕점,1,1,0,0,0,0,0
한식,뿔발,농업회사법인(주)을과함께,37,8,15,0,1,0,0
한식,토정삼계탕,(주)우리모메,11,1,1,1,1,"393,427","9,251"
한식,섬진강다슬기마을,(주)어업회사법인섬진강다슬기마을,0,0,0,0,0,0,0
한식,청연,청연,1,1,0,0,0,0,0
한식,미식가의구이,(주)태인에프앤비,39,18,0,0,0,"313,158","9,221"
한식,시래정각,시래푸드식품,0,0,0,0,0,0,0
한식,직화삼겹 피그킹,직화삼겹피그킹,0,0,0,0,0,0,0
한식,소문난대구왕뽈찜,소문난대구왕뽈찜,0,0,0,0,0,0,0
한식,삼훈국민생아구찜,(주)백경푸드시스템,11,2,0,0,0,"369,041","8,011"
한식,김진호 대왕족발,대왕보쌈식족발,0,0,0,0,0,0,0
한식,꽃길따라한식비빔밥전문점,꽃길따라한식비빔밥전문점,4,6,0,2,0,0,0
한식,마마찜갈비,(주)찌니호야프랜드,0,0,0,0,0,0,0
한식,직화삼겹통,직화삼겹통,0,0,0,0,0,0,0
한식,2020돈우회관,올바른컴퍼니,0,0,0,0,0,0,0
한식,브라이트스타,(주)브라이트스타,0,0,0,0,0,0,0
한식,서민반찬,서민에프엔씨,0,0,0,0,0,0,0
한식,1992 남산식당,(주)에스엠제이컴퍼니,0,0,0,0,0,0,0
한식,봉춘회관,농부의마음,3,3,0,0,0,0,0
한식,응곱 1978,태승에프앤씨,0,0,0,0,0,0,0
한식,곱꾸아 한우곱창,태승에프앤씨,0,0,0,0,0,0,0
한식,씅's 꼬기가득 비빔밥,태승에프앤씨,0,0,0,0,0,0,0
한식,괸당집,(주)제주소나이,6,6,0,0,0,"357,400","17,176"
한식,큰정할매순대국,(주)휴앤지,10,0,0,3,1,"294,314","9,673"
한식,철뚝집,(주)브라더푸드시스템,15,9,0,0,1,"447,252",0
한식,에그폭탄덮밥,(주)산들그린,0,0,0,0,0,0,0
한식,죽향갈비안창집,(주)제이슨코리아,0,0,0,0,0,0,0
한식,대패꽃필무렵,(주)다담에프앤비,0,0,0,0,0,0,0
한식,명륜진사갈비,(주)명륜당,454,331,0,1,7,"992,450","16,746"
한식,수왕초장집,(주)장집,0,0,0,0,0,0,0
한식,두근돼지김치찜,두근돼지,0,0,0,0,0,0,0
한식,세꼬시공장,세공,4,0,0,0,1,0,0
한식,오풍미족발,오풍미(주),0,0,0,0,0,0,0
한식,일품투가리감자탕,(주)좋은우리,6,6,0,0,0,"762,321","11,449"
한식,육분삼십,(주)편백가,10,7,0,1,0,"565,513","14,877"
한식,후원,(주)이랜드이츠,0,0,0,0,0,0,0
한식,광안국밥,(주)정담에프엔씨,0,0,0,0,0,0,0
한식,동방축산,동방축산,0,0,0,0,0,0,0
한식,소제이,소제이,0,0,0,0,0,0,0
한식,1954 무한등심,(주)거성엔터프라이즈,0,0,0,0,0,0,0
한식,소곰집,우진정육상회,0,0,0,0,0,0,0
한식,더다함감자탕,더다함감자탕,0,0,0,0,0,0,0
한식,프로키친,프로키친,0,0,0,0,0,0,0
한식,남포동 직화 쭈꾸미,(주)이엔지스토리,0,0,0,0,0,0,0
한식,장충미도왕족발보쌈,(주)미도식품,1,0,0,0,0,0,0
한식,오래오래장충동왕족발보쌈,(주)미도식품,4,0,2,0,0,0,0
한식,뚱뚱이할머니족발보쌈,(주)미도식품,6,1,0,0,0,"20,813","1,040"
한식,한산주사골순댓국,한산주(주),0,0,0,0,0,0,0
한식,마시온,마시온푸드,0,0,0,0,0,0,0
한식,오마이양대창,(주)행복한구이세상,0,0,0,0,0,0,0
한식,냅다청양집,(주)신영국푸드,0,0,0,0,0,0,0
한식,화평동왕냉면,해피브릿지협동조합,22,0,0,1,0,"287,145","1,726"
한식,흑도리,해피브릿지협동조합,7,2,0,0,0,"366,514","7,427"
한식,안국밥,올림엔터프라이즈(OLIMENTERPRISE),1,1,0,0,0,0,0
한식,마선생마약국밥,올림엔터프라이즈(OLIMENTERPRISE),2,2,0,0,0,0,0
한식,싸가지고가게,이솔푸드,0,0,0,0,0,0,0
한식,유담떡갈비,유담식품,0,0,0,0,0,0,0
한식,정온달집,(주)밥재이,0,0,0,0,0,0,0
한식,산들바람,(주)강산면옥,0,0,0,0,0,0,0
한식,삼청동샤브,(주)삼청동,0,0,0,0,0,0,0
한식,빤닭빤닭,빤닭빤닭,3,1,0,0,0,0,0
한식,돼지새마을본부,돼지새마을푸드,3,1,0,0,0,0,0
한식,오복오봉집,(주)조은음식드림,0,0,0,0,0,0,0
한식,해운대31cm해물칼국수,(주)미스터탁누들,0,0,0,0,0,0,0
한식,숨쉬는 순두부,(주)에스앤에스숨,9,9,0,0,0,0,0
한식,박가부대,원앤원(주),127,10,16,0,4,"247,592","8,918"
한식,백억하누,100푸드,0,0,0,0,0,0,0
한식,장충동왕족발보쌈,(주)장충동왕족발,96,4,22,0,7,"48,097","2,565"
한식,일품낙성불백,(주)심플맨,0,0,0,0,0,0,0
한식,진명인면옥,(유)명인푸드,0,0,0,0,0,0,0
한식,목촌국민삼겹,(주)행운식품,3,2,0,0,0,0,0
한식,맛있는 고기에 솜씨를 더하다,(주)더하다F&C,0,0,0,0,0,0,0
한식,통달배,(주)톰앤드,28,31,0,10,0,"150,511","9,293"
한식,인생극장,(주)에이치티코리아,108,26,0,30,3,"121,679","13,911"
한식,반궁,(주)이랜드이츠,1,1,0,0,1,0,0
한식,한양장터국밥,(주)화인에프앤비,0,0,0,0,0,0,0
한식,족도리,(주)미산푸드,0,0,0,0,0,0,0
한식,작렬곱창,작렬곱창,1,0,0,0,0,0,0
한식,본가낙곱새,본가푸드,0,0,0,0,0,0,0
한식,삶다 오로지 족발,(유)케이앤에스오로지,9,3,0,0,0,"671,979","25,925"
한식,서민돼지,(주)푸드리아,0,0,0,0,0,0,0
한식,막창로2가 항아리 곱창집,(주)지에프코리아,0,0,0,0,0,0,0
한식,꽃돼지식당,딜리셔스피플,4,3,0,0,0,0,0
한식,천년설렁탕,(주)라이또에프앤씨,0,0,0,0,0,0,0
한식,바른고기 엘베요타,바른고기엘베요타,0,0,0,0,0,0,0
한식,가장맛있는족발,(주)가장맛있는족발,406,33,0,14,33,"551,310","15,625"
한식,한식의민족,오늘의Recipe,9,9,0,0,0,0,0
한식,밥도둑이야게장n김치찌개,오늘의Recipe,10,10,0,0,0,0,0
한식,목포집게장순살비빔밥,오늘의Recipe,10,10,0,0,0,0,0
한식,내파부대찌개,오늘의Recipe,0,0,0,0,0,0,0
한식,아라쭈꾸미,(주)리온코리아,0,0,0,0,0,0,0
한식,한달음숯불구이,유한회사한달음에프앤비,0,0,0,0,0,0,0
한식,고기극찬,고기극찬,0,0,0,0,0,0,0
한식,1967 삼대 서울곱창,(주)케이에스피에프앤비,0,0,0,0,0,0,0
한식,수유리혼밥왕,(주)마스터아이디,0,0,0,0,0,0,0
한식,동의명가 뼈해장국 순대국 무한리필 감자탕,(주)더블에스그룹,0,0,0,0,0,0,0
한식,카츠윤,윤푸드,0,0,0,0,0,0,0
한식,쟁반집8292,(주)에스에이치푸드랩,0,0,0,0,0,0,0
한식,692서서갈비,(주)에스이엔에프씨,0,0,0,0,0,0,0
한식,을지로골목집,(주)에이알피그룹,0,0,0,0,0,0,0
한식,대만족,(주)대만족,0,0,0,0,0,0,0
한식,교반,교반본점,0,0,0,0,0,0,0
한식,해선정해물찜,해선정해물찜,0,0,0,0,0,0,0
한식,청년고기장수,청년히어로즈,0,0,0,0,0,0,0
한식,배명 이태원찌개마을,배달의명가,0,0,0,0,0,0,0
한식,배명 원조얼큰샤브샤브,배달의명가,0,0,0,0,0,0,0
한식,배명 천수냉면,배달의명가,0,0,0,0,0,0,0
한식,배명 인사동칼국수,배달의명가,0,0,0,0,0,0,0
한식,박주억 강원도집,㈜공존,3,0,0,0,0,0,0
한식,박주억 장수오리,㈜공존,3,1,0,0,0,0,0
한식,돈불식당,돈불,3,2,1,0,0,0,0
한식,돈불1971,돈불,1,0,0,1,0,0,0
한식,한끼한죽,우수한형제들,76,77,0,1,0,0,0
한식,나는 밥조폭이다,우수한형제들,37,45,0,8,4,"54,810","2,965"
한식,보승회관,보승FC,17,8,0,1,0,"676,433",0
한식,건강밥상 심마니,(주)엠푸드,9,6,0,0,0,"1,513,090","14,307"
한식,미진축산,미진포차시청점,3,3,0,0,0,0,0
한식,더만족,더만족,31,2,0,6,2,"363,009","9,930"
한식,터진만두,터진만두,0,0,0,0,0,0,0
한식,마장동김씨,씨컴퍼니,0,0,0,0,0,0,0
한식,곱창플렉스,(주)푸드박스,0,0,0,0,0,0,0
한식,계릴라도리탕,(주)피와이피에프앤비,0,0,0,0,0,0,0
한식,찜닭은그집,그집푸드,0,0,0,0,0,0,0
한식,그집곱닭도리탕,그집푸드,0,0,0,0,0,0,0
한식,푸드센터(FOOD CENTER),올체인지파트너스,0,0,0,0,0,0,0
한식,곽일품닭,(주)곽일품농부산촌,0,0,0,0,0,0,0
한식,꿀육회,제이커머스,0,0,0,0,0,0,0
한식,더조은갈비,(주)더굿,8,10,0,2,0,0,0
한식,진골김치찜,쓰리알컴퍼니(3RCOMPANY),0,0,0,0,0,0,0
한식,킹스아구찜,킹스아구찜,2,0,0,0,0,0,0
한식,두심스 독도해물알찜,두심스F&S,0,0,0,0,0,0,0
한식,최정규 팔당 원조 칼제비 보쌈,씨앤에스푸드(C&SFOOD),0,0,0,0,0,0,0
한식,삼시네끼,삼시네끼,3,3,0,0,0,0,0
한식,담소 소사골 순대 육개장,(주)담소이야기,97,11,0,17,7,"540,966","15,446"
한식,진수곱창,(주)제이에스푸드,1,1,0,0,0,0,0
한식,쌈의정석,우버금,0,0,0,0,0,0,0
한식,두둠치밥,미르fnc,0,0,0,0,0,0,0
한식,사천찜닭,로드다이닝(주),0,0,0,0,0,0,0
한식,배달삼겹 맛있으면돼지,배달삼겹 맛있으면돼지,0,0,0,0,0,0,0
한식,편백가원,편백가원,0,0,0,0,0,0,0
한식,곱품닭,(주)맛있는수다,0,0,0,0,0,0,0
한식,대식가2900,(주)태인에프앤비,0,0,0,0,0,0,0
한식,우리만 가고싶은 한우곱창,우리만가고싶은한우곱창,0,0,0,0,0,0,0
한식,서서방 숯불닭갈비 돼지갈비,서서방숯불닭갈비,0,0,0,0,0,0,0
한식,오술차,(주)오술차,27,3,0,5,1,"289,277","11,501"
한식,제주생선구이 올래밥상,올래밥상에프엔비(주),4,0,0,2,0,0,0
한식,순례국밥,순례국밥,0,0,0,0,0,0,0
한식,열라불라연탄집,우리식품,2,2,0,0,0,0,0
한식,불맛공장,불맛공장,0,0,0,0,0,0,0
한식,등뼈연구소,밀포유,0,0,0,0,0,0,0
한식,내조국국밥,(주)내조국국밥,0,0,0,0,0,0,0
한식,정성을다한갈비찜,정성을다한갈비찜,0,0,0,0,0,0,0
한식,나두락손만두,파워푸드(유),0,0,0,0,0,0,0
한식,청년컵밥,(주)청년에프앤비,0,0,0,0,0,0,0
한식,야무진냄비,야무진냄비,4,2,0,0,0,0,0
한식,언양닭칼국수,SSF&C,4,4,0,0,0,0,0
한식,동리장,(주)은태에프앤비,0,0,0,0,0,0,0
한식,낭만쭈꾸미,(주)낭만연구소,9,2,0,6,0,"497,049","5,668"
한식,신의주찹쌀순대,(주)거성푸드,160,24,0,14,4,"434,069","14,807"
한식,청국장과보리밥,농협회사법인(주)인건,14,0,0,3,0,"518,846","10,116"
한식,여우감자탕,(주)와이에프앤씨글로벌,1,0,0,0,0,0,0
한식,흥부찜닭,(주)놀부,110,114,4,0,7,"92,470","22,004"
한식,창대한곱창,(주)놀부,6,6,0,0,0,0,0
한식,옥소반,(주)옥소반,0,0,0,0,0,0,0
한식,진한설렁탕담다,(주)놀부,3,0,2,0,0,"116,813","5,683"
한식,삼겹본능,(주)놀부,183,168,24,0,9,"48,509","16,170"
