업종,브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,"가맹점
평균매출액","가맹점
면적(3.3㎡)당
평균매출액"
분식,바푸리국민떡볶이,(주)비피알,1,0,1,0,0,0,0
분식,바푸리,(주)비피알,92,3,28,1,8,"168,053","12,283"
분식,핫프렌즈 핫도그,(주)위드미,8,0,0,5,0,"40,745","4,501"
분식,라밥,(유)에스피에프앤비,0,0,0,0,0,0,0
분식,떡통령의 빨간철가방,더킹에프엔씨,0,0,0,0,0,0,0
분식,바로그집,(주)빅브라더,1,1,0,0,0,0,0
분식,벌떡,(주)시현2014,36,36,0,0,0,0,0
분식,오마이카츠,(주)축제의나라,0,0,0,0,0,0,0
분식,부산명가밀면,부산명가밀면,0,0,0,0,0,0,0
분식,북문로떡볶이,(주)북문로키친,28,1,3,16,3,"97,892","9,685"
분식,남매컵밥,남매컵밥,4,4,0,0,0,0,0
분식,정아니의불타는여고24시떡볶이,(주)불여시팸,19,15,0,0,0,"382,433","26,988"
분식,킹스꼬마김밥,킹스코리아,0,0,0,0,0,0,0
분식,맛있는 친구 미친 떡볶이,(주)현푸드,0,0,0,0,0,0,0
분식,대손관,(주)대대손손,2,2,0,0,0,0,0
분식,오정은A김밥,(주)오정은,21,4,3,2,1,"264,049","15,267"
분식,우스떡볶이,우스에프엔비(주),0,0,0,0,0,0,0
분식,참 좋은 김밥천국,좋은F&C,13,5,0,0,0,"182,633","12,547"
분식,기묘한 떡볶이,태민푸드,0,0,0,0,0,0,0
분식,신마녀떡볶이,신마녀F&C,8,8,0,0,0,0,0
분식,신대장 떡볶이,캡틴신푸드시스템,17,6,0,1,2,"248,910","22,976"
분식,문's 빨간떡볶이&빨간김밥,MOON푸드,5,5,0,0,0,0,0
분식,대한분식,대한분식김보현인,11,11,0,0,0,"189,010","8,813"
분식,왕비돈까스,(주)제이비패밀리,0,0,0,0,0,0,0
분식,노랑분식,(주)제이비패밀리,0,0,0,0,0,0,0
분식,맥아더떡볶이,(주)제이비패밀리,0,0,0,0,0,0,0
분식,다가미,다가미전국본점살레안국수,0,0,0,0,0,0,0
분식,두끼,(주)다른,218,54,0,0,20,"603,228","11,980"
분식,엄청난떡볶이,엄청난떡볶이,17,0,0,4,5,"155,863","13,182"
분식,즉석국물떡볶이 달쫀,달쫀,11,3,0,0,4,"203,271","14,405"
분식,한입김밥,맛있지요F&C,1,0,0,0,0,0,0
분식,신나불고,우리안,0,0,0,0,0,0,0
분식,장호덕손만두,장호덕손만두,47,23,0,0,0,"115,071","10,393"
분식,본만두,본푸드,8,4,0,0,0,"476,768","10,216"
분식,우럼마왕만두,우럼마에프앤디,17,0,0,11,0,"153,137","15,795"
분식,떡볶이스타,스타푸드시스템,17,8,1,0,0,"23,765","2,148"
분식,웁스떡볶이,웁스에프앤씨,15,0,0,0,0,"51,870","4,404"
분식,브이떡볶이126,(주)남강푸드시스템,0,0,0,0,0,0,0
분식,바로e생멸치국수,MK에프에스,4,0,0,0,0,0,0
분식,갈현동할머니떡볶이,가온컴퍼니,0,0,0,0,0,0,0
분식,밀방떡,형네가게,22,16,0,2,4,"245,153","22,764"
분식,괴물떡볶이,괴물떡볶이,3,0,0,0,0,0,0
분식,괴물떡볶이,괴물떡볶이,3,0,0,0,0,0,0
분식,일백송칼국수,일품백송칼국수,0,0,0,0,0,0,0
