상호,영업표지,대표자,업종,법인설립등기일,사업자등록일,대표번호,대표팩스 번호,등록번호,최초등록일,최종등록일,주소,사업자유형,법인등록번호,사업자등록번호,2020년 자산,2020년 부채,2020년 자본,2020년 매출액,2020년 영업이익,2020년 당기순이익,2019년 자산,2019년 부채,2019년 자본,2019년 매출액,2019년 영업이익,2019년 당기순이익,2018년 자산,2018년 부채,2018년 자본,2018년 매출액,2018년 영업이익,2018년 당기순이익,브랜드 수,가맹사업 계열사 수,가맹사업 개시일,2020년 신규개점,2020년 계약종료,2020년 계약해지,2020년 명의변경,2019년 신규개점,2019년 계약종료,2019년 계약해지,2019년 명의변경,2018년 신규개점,2018년 계약종료,2018년 계약해지,2018년 명의변경,"가맹지역본부(지사,지역총판)수",형태,예치 가맹금,공정거래위원회의 시정조치,민사소송 패소 및 민사상 화해,형의 선고,가입비(가맹비),교육비,보증금,기타비용,합계,단위면적(3.3㎡)당 인테리어 비용,기준점포면적(㎡),인테리어 비용,최초 계약기간,연장 계약기간
블러프컴퍼니,윤이불닭발,이태윤,기타 외식,..,2020.08.07,070  -  7543  -  7232,  -    -  ,20201592,2020.11.25,2021.04.05,우 : 21344 인천광역시 부평구 길주로 623 101동 1604호,개인,  -  ,229  -  16  -  03119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020  -  12  -  23,0,0,0,0,0,0,0,0,0,0,0,0,  개,보험,0,0,0,0,"3,300","3,300","5,000","39,600","51,200",0,0 ,0,2,2
약콩세가,약콩밀면,조상홍,한식,..,2020.09.09,051  -  661  -  1231,0  -  0  -  0,20201567,2020.11.20,2021.04.02,우 : 48517 부산광역시 남구 용호로42번길 14 102동 2215호,개인,  -  ,441  -  42  -  00633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,가맹계약 체결 사실이 없음,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"10,800",0,0,0,"5,500","3,300","2,000","102,300","113,100","2,200 ",99 ,"66,000 ",2,2
호두랑파이랑,호두랑파이랑,김현봉,제과제빵,..,2008.05.01,052  -  265  -  5945,00  -  0000  -  0000,20120300056,2012.08.21,2021.04.02,우 : 44725 울산광역시 남구 신정로20번길 15-6 302호,개인,  -  ,608  -  17  -  29094,0,0,0,"37,710",0,0,0,0,0,"56,862",0,0,0,0,0,"83,330",0,0,1,0,2008  -  07  -  30,0,0,0,0,0,2,0,0,0,1,1,1,0  개,예치제,"4,850",0,0,0,"3,300",550,"1,000","37,200","42,050","1,200 ",33 ,"12,000 ",3,3
올리터카페앤디저트프랜차이즈,올리터,이승석,커피,..,2020.05.22,00  -  1566  -  1206,000  -  0000  -  0000,20201311,2020.10.06,2021.04.02,우 : 54963 전라북도 전주시 완산구 석산1길 18 1층 101호(효자동3가),개인,  -  ,653  -  08  -  01449,0,0,0,"4,718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,가맹계약 체결사실 없음,0,0,0,0,0,0,0,0,0,0,0,0,0  개,보험,"8,800",0,0,0,"5,500","3,300",0,"50,400","59,200","1,650 ",66 ,"33,000 ",1,1
대족(대한민국최고족발)본점,대족,최옥경,한식,..,2020.12.10,02  -  985  -  2020,  -    -  ,20210093,2021.01.11,2021.04.02,"우 : 01197 서울특별시 강북구 삼양로27길 43 206호(미아동, 위브 테라스 파크)",개인,  -  ,752  -  31  -  01161,0,0,0,"3,576",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,가맹사업 준비 중,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"15,200",0,0,0,"11,000","2,200","2,000","51,704","66,904","2,200 ",50 ,"33,000 ",2,1
삼초전,삼초전 삼겹살 초벌전문점,박종운,한식,..,2018.08.20,010  -  3540  -  1133,0000  -  0000  -  0000,20181128,2018.11.05,2021.04.02,우 : 49053 부산광역시 영도구 남항로41번길 29-1 1층(남향동1가),개인,  -  ,801  -  68  -  00193,0,0,0,"172,038",0,0,0,0,0,"47,554",0,0,0,0,0,"74,779",0,0,1,0,2018  -  07  -  13,10,3,0,1,7,0,0,0,4,0,0,0,0  개,예치제,"5,500",0,0,0,"2,200","3,300",0,"25,850","31,350",0 ,26 ,0 ,2,2
약콩세가,오륙칼국수,조상홍,한식,..,2020.09.09,051  -  611  -  1231,0  -  0  -  0,20201422,2020.10.29,2021.04.02,우 : 48517 부산광역시 남구 용호로42번길 14 102동 2215호,개인,  -  ,441  -  42  -  00633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"10,800",0,0,0,"5,500","3,300","2,000","102,300","113,100","2,200 ",99 ,"66,000 ",2,2
할매손집밥,뼈대있는국밥,이준영,한식,..,2016.12.01,  -  1600  -  7407,0  -  0  -  0,20191053,2019.10.17,2021.04.02,우 : 61071 광주광역시 북구 양산택지로37번길 82 .,개인,  -  ,229  -  37  -  00285,0,0,0,0,0,0,"84,511",12,"84,499","1,273,722","69,573","69,573","16,303","1,378","14,925","159,404","11,791","9,964",5,0,2019  -  02  -  28,0,0,0,0,29,0,0,1,0,0,0,0,  개,보험,"1,100",0,0,0,0,"1,100",0,"52,250","53,350","1,650 ",50 ,"24,750 ",2,1
할매손집밥,원플러스원 찌개&볶음,이준영,한식,..,2016.12.01,  -  1600  -  7407,0  -  0  -  0,20190124,2019.02.07,2021.04.02,우 : 61071 광주광역시 북구 양산택지로37번길 82 .,개인,  -  ,229  -  37  -  00285,0,0,0,0,0,0,"84,511",12,"84,499","1,273,722","69,573","69,573","16,303","1,378","14,925","159,404","11,791","9,964",5,0,2019  -  02  -  28,0,0,0,0,79,0,12,2,0,0,0,0,0  개,보험,"1,100",0,0,0,0,"1,100",0,"52,250","53,350","1,650 ",50 ,"24,750 ",2,1
할매손집밥,냉면덕후,이준영,한식,..,2016.12.01,  -  1600  -  7407,0  -  0  -  0,20190280,2019.04.04,2021.04.02,우 : 61071 광주광역시 북구 양산택지로37번길 82 .,개인,  -  ,229  -  37  -  00285,0,0,0,0,0,0,"84,511",12,"84,499","1,273,722","69,573","69,573","16,303","1,378","14,925","159,404","11,791","9,964",5,0,2020  -  06  -  29,0,0,0,0,41,0,7,2,0,0,0,0,0  개,보험,"1,100",0,0,0,0,"1,100",0,"50,050","51,150","1,650 ",50 ,"24,750 ",2,1
