상호,영업표지,대표자,업종,법인설립등기일,사업자등록일,대표번호,대표팩스 번호,등록번호,최초등록일,최종등록일,주소,사업자유형,법인등록번호,사업자등록번호,2019년 자산,2019년 부채,2019년 자본,2019년 매출액,2019년 영업이익,2019년 당기순이익,2018년 자산,2018년 부채,2018년 자본,2018년 매출액,2018년 영업이익,2018년 당기순이익,2017년 자산,2017년 부채,2017년 자본,2017년 매출액,2017년 영업이익,2017년 당기순이익,브랜드 수,가맹사업 계열사 수,가맹사업 개시일,2019년 신규개점,2019년 계약종료,2019년 계약해지,2019년 명의변경,2018년 신규개점,2018년 계약종료,2018년 계약해지,2018년 명의변경,2017년 신규개점,2017년 계약종료,2017년 계약해지,2017년 명의변경,"가맹지역본부(지사,지역총판)수",형태,예치 가맹금,공정거래위원회의 시정조치,민사소송 패소 및 민사상 화해,형의 선고,가입비(가맹비),교육비,보증금,기타비용,합계,단위면적(3.3㎡)당 인테리어 비용,기준점포면적(㎡),인테리어 비용,최초 계약기간,연장 계약기간
단F&B,크크반점,김대우,중식,..,2020.08.11,070  -  4175  -  3653,00  -  000  -  0000,20210665,2021.03.10,2021.03.10,우 : 12804 경기도 광주시 곤지암읍 곤지암로 120 103동 7층 5호,개인,  -  ,875  -  04  -  01774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,가맹사업 예정,0,0,0,0,0,0,0,0,0,0,0,0,0  개,0,"5,000",0,0,0,"3,000","1,000","1,000","25,217","30,217","1,350 ",33 ,"13,500 ",3,3
브링커인터내셔널잉크,칠리스 그릴 앤 바,Wyman T. Roberts,기타 외국식,1983.09.30,1983.09.30,972  -  980  -  9917,972  -  770  -  9345,20130082,2013.07.30,2021.03.09,"우 : 미합중국 텍사스주 75019 달라스, 올림푸스 불르바드 3000",법인,  -  ,111  -  11  -  11111,"2,356,000,000","2,835,100,000","-479,100,000","3,078,500,000","62,600,000","24,400,000","1,258,300,000","2,036,500,000","-778,200,000","3,217,900,000","230,700,000","154,900,000","1,347,340,000","2,065,649,000","-718,309,000","3,135,417,000","226,106,000","125,882,000",1,1,1984  -  06  -  29,0,0,0,0,0,0,0,0,0,0,0,0,0  개,해당없음,0,0,0,0,"160,000",0,0,"4,452,000","4,612,000",0 ,0 ,0 ,20,20
아키푸드,전골에 미치다,박정기,한식,..,2019.09.27,02  -  1522  -  7293,032  -  561  -  0797,20210643,2021.03.09,2021.03.09,우 : 21397 인천광역시 부평구 부흥로360번길 36 403호,개인,  -  ,739  -  30  -  00712,0,0,0,"48,936",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,가맹사업 준비중,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"5,300",0,0,0,"2,200","1,100","2,000","59,400","64,700","1,540 ",66 ,"30,800 ",2,2
(주)에스비에프앤비,참인 소문난맵집,"한주윤, 홍희상",한식,2020.06.29,2020.06.29,0  -  1688  -  4369,032  -  815  -  3007,20210644,2021.03.09,2021.03.09,우 : 22136 인천광역시 미추홀구 미추홀대로733번길 15 -,법인,120111  -  1083005,123  -  88  -  01713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,가맹사업 개시전,0,0,0,0,0,0,0,0,0,0,0,0,0  개,보험,"10,800",0,0,0,"5,500","3,300","2,000","46,200","57,000","1,650 ",33 ,"16,500 ",1,1
트릴리원,그릴드버거,황재원,패스트푸드,..,2020.11.16,032  -  746  -  5050,  -    -  ,20210634,2021.03.08,2021.03.08,우 : 22361 인천광역시 중구 운서로7번길 10 102호,개인,  -  ,562  -  16  -  01338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,가맹사업개시전,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"16,000",0,0,0,"3,300","5,500","5,000","2,200","16,000","2,145 ",83 ,"53,625 ",2,1
(주)피티스트,꾸덕집,임태준,한식,2019.12.06,2019.12.06,032  -  466  -  9005,032  -  466  -  9006,20210633,2021.03.08,2021.03.08,우 : 21618 인천광역시 남동구 서창남로 16-8 .,법인,120111  -  1037937,152  -  87  -  01499,"614,392","127,600","486,792",0,"-13,208","-13,208",0,0,0,0,0,0,0,0,0,0,0,0,1,0,가맹사업 준비중,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,0,0,0,0,0,0,0,0,0,"1,700 ",99 ,"51,000 ",2,2
(주)충만,충만치킨,이구현,치킨,2014.07.25,2014.07.25,062  -  959  -  6767,062  -  959  -  6769,20140594,2014.07.17,2021.03.05,우 : 62295 광주광역시 광산구 수등로 273-18 (신가동),법인,200111  -  0403398,410  -  86  -  94655,"4,795,516","2,023,665","2,771,851","10,065,468","-5,856","15,689","4,485,858","1,729,697","2,756,161","21,529,995","-1,114,549","-1,124,837","5,960,181","2,079,183","3,880,998","21,831,290","-820,383","-796,032",1,0,2014  -  02  -  15,10,0,32,29,24,0,5,28,21,0,8,32,7  개,보험,"7,500",0,0,0,"3,300","2,200","2,000","79,670","87,170","1,760 ",99 ,"52,800 ",2,2
(주)다니엘푸드,더철판삼겹,박형진,기타 외식,2020.09.08,2020.09.11,02  -  1877  -  3478,02  -  111  -  1111,20201577,2020.11.20,2021.03.05,우 : 07048 서울특별시 동작구 양녕로25바길 10 201호(상도동),법인,110111  -  7615622,871  -  87  -  01926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1971  -  02  -  09,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"7,600",0,0,0,"5,500","1,100","1,000","22,000","29,600","1,650 ",17 ,"8,250 ",2,1
마약떡복이,오늘은마떡,김찬수,분식,..,2015.11.04,031  -  469  -  5022,0  -  0  -  0,20201854,2020.12.21,2021.03.05,"우 : 13992 경기도 안양시 만안구 만안로 222-1 1층(안양동, 학림사빌딩)",개인,  -  ,648  -  50  -  00092,0,0,0,"748,177",0,0,0,0,0,"598,260",0,0,0,0,0,"470,422",0,0,1,0,가맹계약 체결 사실이 없습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"3,200",0,0,0,0,"2,200","1,000","55,300","58,500","2,100 ",33 ,"21,000 ",2,1
(주)에스에스피씨,쑝쑝떡볶이,김영창,분식,2018.04.10,2018.04.20,0  -  1600  -  1725,055  -  383  -  1726,20210631,2021.03.05,2021.03.05,우 : 18469 경기도 화성시 동탄기흥로 614 20층 2015호,법인,234111  -  0099436,216  -  86  -  00991,"654,027","311,636","342,391","2,449,786","201,547","209,987","473,733","341,329","132,404","731,952","37,758","32,403",0,0,0,"247,603",0,0,3,0,가맹계약 체결 사실이 없습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"14,350",0,0,0,"7,150","2,200","5,000","30,841","45,191","1,870 ",33 ,"18,700 ",1,1
