업종,브랜드,가맹사업 년수,가맹점수,"가맹점
평균매출액","합계
(창업비용
지수)",개점률,폐점률
한식,김진오 김실장왕족발,0년 0개월,0,0,"97,700
(.00)",0,0
한식,빅몬스터 부대찌개,0년 0개월,0,0,"22,550
(.00)",0,0
한식,배가네 마약 쭈꾸미,0년 0개월,0,0,"41,250
(.00)",0,0
한식,일미삼겹살,0년 0개월,0,0,"82,100
(.00)",0,0
한식,임창정세겹살,0년 11개월,0,0,"90,160
(.00)",0,0
한식,정성갈비찜도시락,0년 0개월,0,0,"48,200
(.00)",0,0
한식,사백집 서울대패,1년 5개월,1,0,"98,500
(.00)",100.0,0.0
한식,육백집 서울고깃집,2년 4개월,1,0,"95,500
(.00)",0.0,0.0
한식,팔백집,4년 2개월,9,"408,305","95,500
(.00)",33.33,33.33
한식,권사부 순대국,7년 8개월,0,0,"50,875
(.00)",0,0
한식,한솥,27년 8개월,727,"352,657","96,910
(.00)",4.54,402.61
한식,이을감자탕,1년 4개월,1,0,"128,200
(.00)",100.0,0.0
한식,뿔발,5년 1개월,37,0,"28,050
(.00)",21.62,1500.0
한식,토정삼계탕,4년 11개월,11,"393,427","94,050
(.00)",9.09,109.09
한식,섬진강다슬기마을,0년 0개월,0,0,"79,400
(.00)",0,0
한식,청연,1년 4개월,1,0,"45,100
(.00)",100.0,0.0
한식,미식가의구이,3년 0개월,39,"313,158","111,900
(.00)",46.15,0.0
한식,시래정각,0년 0개월,0,0,"27,500
(.00)",0,0
한식,직화삼겹 피그킹,0년 0개월,0,0,"46,520
(.00)",0,0
한식,소문난대구왕뽈찜,0년 0개월,0,0,"113,520
(.00)",0,0
한식,삼훈국민생아구찜,5년 6개월,11,"369,041","144,650
(.00)",18.18,0.0
한식,김진호 대왕족발,0년 0개월,0,0,"80,760
(.00)",0,0
한식,꽃길따라한식비빔밥전문점,1년 7개월,4,0,"63,800
(.00)",150.0,50.0
한식,마마찜갈비,0년 0개월,0,0,"80,900
(.00)",0,0
한식,직화삼겹통,0년 0개월,0,0,"10,800
(.00)",0,0
한식,2020돈우회관,0년 0개월,0,0,"134,000
(.00)",0,0
한식,브라이트스타,0년 0개월,0,0,"124,220
(.00)",0,0
한식,서민반찬,0년 0개월,0,0,"39,300
(.00)",0,0
한식,1992 남산식당,0년 0개월,0,0,"84,950
(.00)",0,0
한식,봉춘회관,1년 6개월,3,0,"108,380
(.00)",100.0,0.0
한식,응곱 1978,0년 0개월,0,0,"61,400
(.00)",0,0
한식,곱꾸아 한우곱창,0년 0개월,0,0,"61,400
(.00)",0,0
한식,씅's 꼬기가득 비빔밥,0년 0개월,0,0,"61,400
(.00)",0,0
한식,괸당집,1년 11개월,6,"357,400","61,360
(.00)",100.0,0.0
한식,큰정할매순대국,5년 7개월,10,"294,314","94,860
(.00)",0.0,30.0
한식,철뚝집,2년 9개월,15,"447,252","83,300
(.00)",60.0,0.0
한식,에그폭탄덮밥,0년 7개월,0,0,"5,500
(.00)",0,0
한식,죽향갈비안창집,0년 0개월,0,0,"131,940
(.00)",0,0
한식,대패꽃필무렵,0년 0개월,0,0,"141,900
(.00)",0,0
한식,명륜진사갈비,3년 8개월,454,"992,450","170,940
(1.00)",72.91,0.22
한식,수왕초장집,0년 0개월,0,0,"111,726
(.00)",0,0
한식,두근돼지김치찜,0년 6개월,0,0,"23,100
(.00)",0,0
한식,세꼬시공장,1년 11개월,4,0,"60,850
(.00)",0.0,0.0
한식,오풍미족발,1년 0개월,0,0,"63,050
(.00)",0,0
한식,일품투가리감자탕,2년 2개월,6,"762,321","137,550
(.00)",100.0,0.0
한식,육분삼십,2년 9개월,10,"565,513","94,100
(.00)",70.0,10.0
한식,후원,14년 4개월,0,0,"171,600
(1.00)",0,0
한식,광안국밥,0년 8개월,0,0,"64,950
(.00)",0,0
한식,동방축산,0년 0개월,0,0,"192,000
(1.00)",0,0
한식,소제이,0년 0개월,0,0,"100,700
(.00)",0,0
한식,1954 무한등심,0년 0개월,0,0,"232,200
(1.00)",0,0
한식,소곰집,0년 0개월,0,0,"88,800
(.00)",0,0
한식,더다함감자탕,0년 0개월,0,0,"136,500
(.00)",0,0
한식,프로키친,0년 0개월,0,0,"46,330
(.00)",0,0
한식,남포동 직화 쭈꾸미,0년 0개월,0,0,"192,500
(1.00)",0,0
한식,장충미도왕족발보쌈,17년 2개월,1,0,"20,300
(.00)",0.0,0.0
한식,오래오래장충동왕족발보쌈,10년 10개월,4,0,"28,800
(.00)",0.0,200.0
한식,뚱뚱이할머니족발보쌈,16년 4개월,6,"20,813","20,680
(.00)",16.67,0.0
한식,한산주사골순댓국,0년 0개월,0,0,"700
(.00)",0,0
한식,마시온,0년 0개월,0,0,"51,200
(.00)",0,0
한식,오마이양대창,0년 11개월,0,0,"185,180
(1.00)",0,0
한식,냅다청양집,0년 6개월,0,0,"60,700
(.00)",0,0
한식,화평동왕냉면,17년 0개월,22,"287,145","30,729
(.00)",0.0,4.55
한식,흑도리,3년 1개월,7,"366,514","122,700
(.00)",28.57,0.0
한식,안국밥,1년 5개월,1,0,"59,500
(.00)",100.0,0.0
한식,마선생마약국밥,1년 9개월,2,0,"44,000
(.00)",100.0,0.0
한식,싸가지고가게,0년 11개월,0,0,"11,900
(.00)",0,0
한식,유담떡갈비,0년 0개월,0,0,"25,484
(.00)",0,0
한식,정온달집,0년 6개월,0,0,"105,300
(.00)",0,0
한식,산들바람,0년 0개월,0,0,"166,150
(1.00)",0,0
한식,삼청동샤브,0년 0개월,0,0,"108,908
(.00)",0,0
한식,빤닭빤닭,4년 6개월,3,0,"44,900
(.00)",33.33,0.0
한식,돼지새마을본부,3년 6개월,3,0,"70,100
(.00)",33.33,0.0
한식,오복오봉집,0년 0개월,0,0,"100,100
(.00)",0,0
한식,해운대31cm해물칼국수,0년 0개월,0,0,"84,070
(.00)",0,0
한식,숨쉬는 순두부,2년 0개월,9,0,"150,130
(.00)",100.0,0.0
한식,박가부대,12년 8개월,127,"247,592","107,993
(.00)",7.87,1600.0
한식,백억하누,0년 0개월,0,0,"200,000
(1.00)",0,0
한식,장충동왕족발보쌈,20년 2개월,96,"48,097","49,700
(.00)",4.17,2200.0
한식,일품낙성불백,0년 0개월,0,0,"63,650
(.00)",0,0
한식,진명인면옥,0년 0개월,0,0,"116,290
(.00)",0,0
한식,목촌국민삼겹,2년 5개월,3,0,"116,150
(.00)",66.67,0.0
한식,맛있는 고기에 솜씨를 더하다,1년 2개월,0,0,"116,700
(.00)",0,0
한식,통달배,3년 0개월,28,"150,511","29,128
(.00)",110.71,35.71
한식,인생극장,7년 4개월,108,"121,679","16,400
(.00)",24.07,27.78
한식,반궁,1년 8개월,1,0,"144,312
(.00)",100.0,0.0
한식,한양장터국밥,0년 0개월,0,0,"93,500
(.00)",0,0
한식,족도리,0년 0개월,0,0,"61,042
(.00)",0,0
한식,작렬곱창,2년 9개월,1,0,"51,480
(.00)",0.0,0.0
한식,본가낙곱새,0년 0개월,0,0,"10,800
(.00)",0,0
한식,삶다 오로지 족발,3년 2개월,9,"671,979","63,600
(.00)",33.33,0.0
한식,서민돼지,0년 0개월,0,0,"122,900
(.00)",0,0
한식,막창로2가 항아리 곱창집,0년 7개월,0,0,"58,450
(.00)",0,0
한식,꽃돼지식당,2년 9개월,4,0,"41,493
(.00)",75.0,0.0
한식,천년설렁탕,0년 0개월,0,0,"82,950
(.00)",0,0
한식,바른고기 엘베요타,0년 9개월,0,0,"75,760
(.00)",0,0
한식,가장맛있는족발,8년 2개월,406,"551,310","103,200
(.00)",8.13,3.45
한식,한식의민족,2년 7개월,9,0,"15,706
(.00)",100.0,0.0
한식,밥도둑이야게장n김치찌개,1년 7개월,10,0,"15,706
(.00)",100.0,0.0
한식,목포집게장순살비빔밥,1년 7개월,10,0,"15,706
(.00)",100.0,0.0
한식,내파부대찌개,0년 0개월,0,0,"15,706
(.00)",0,0
한식,아라쭈꾸미,0년 0개월,0,0,"271,125
(1.00)",0,0
한식,한달음숯불구이,0년 0개월,0,0,"103,753
(.00)",0,0
한식,고기극찬,0년 7개월,0,0,"97,430
(.00)",0,0
한식,1967 삼대 서울곱창,0년 0개월,0,0,"102,900
(.00)",0,0
한식,수유리혼밥왕,0년 10개월,0,0,"35,287
(.00)",0,0
한식,동의명가 뼈해장국 순대국 무한리필 감자탕,0년 0개월,0,0,"74,600
(.00)",0,0
한식,카츠윤,0년 0개월,0,0,"48,895
(.00)",0,0
한식,쟁반집8292,0년 7개월,0,0,"0
(.00)",0,0
한식,692서서갈비,0년 0개월,0,0,"119,300
(.00)",0,0
한식,을지로골목집,0년 10개월,0,0,"74,800
(.00)",0,0
한식,대만족,0년 7개월,0,0,"0
(.00)",0,0
한식,교반,0년 0개월,0,0,"12,900
(.00)",0,0
한식,해선정해물찜,0년 0개월,0,0,"17,450
(.00)",0,0
한식,청년고기장수,0년 0개월,0,0,"137,632
(.00)",0,0
한식,배명 이태원찌개마을,0년 0개월,0,0,"28,527
(.00)",0,0
한식,배명 원조얼큰샤브샤브,0년 0개월,0,0,"15,257
(.00)",0,0
한식,배명 천수냉면,0년 0개월,0,0,"42,465
(.00)",0,0
한식,배명 인사동칼국수,0년 0개월,0,0,"28,672
(.00)",0,0
한식,박주억 강원도집,8년 2개월,3,0,"249,900
(1.00)",0.0,0.0
한식,박주억 장수오리,4년 6개월,3,0,"42,000
(.00)",33.33,0.0
한식,돈불식당,4년 9개월,3,0,"66,450
(.00)",66.67,100.0
한식,돈불1971,6년 3개월,1,0,"71,950
(.00)",0.0,100.0
한식,한끼한죽,1년 8개월,76,0,"6,710
(.00)",101.32,1.32
한식,나는 밥조폭이다,1년 11개월,37,"54,810","41,250
(.00)",121.62,21.62
한식,보승회관,3년 7개월,17,"676,433","101,970
(.00)",47.06,5.88
한식,건강밥상 심마니,3년 1개월,9,"1,513,090","298,700
(1.00)",66.67,0.0
한식,미진축산,1년 3개월,3,0,"72,850
(.00)",100.0,0.0
한식,더만족,9년 6개월,31,"363,009","101,900
(.00)",6.45,19.35
한식,터진만두,0년 0개월,0,0,"79,200
(.00)",0,0
한식,마장동김씨,0년 9개월,0,0,"172,200
(1.00)",0,0
한식,곱창플렉스,0년 0개월,0,0,"995
(.00)",0,0
한식,계릴라도리탕,0년 0개월,0,0,"26,400
(.00)",0,0
한식,찜닭은그집,0년 11개월,0,0,"52,800
(.00)",0,0
한식,그집곱닭도리탕,0년 11개월,0,0,"52,800
(.00)",0,0
한식,푸드센터(FOOD CENTER),0년 0개월,0,0,"38,750
(.00)",0,0
한식,곽일품닭,0년 0개월,0,0,"70,500
(.00)",0,0
한식,꿀육회,0년 0개월,0,0,"11,670
(.00)",0,0
한식,더조은갈비,2년 1개월,8,0,"79,200
(.00)",125.0,25.0
한식,진골김치찜,0년 9개월,0,0,"9,250
(.00)",0,0
한식,킹스아구찜,4년 3개월,2,0,"43,950
(.00)",0.0,0.0
한식,두심스 독도해물알찜,0년 0개월,0,0,"43,800
(.00)",0,0
한식,최정규 팔당 원조 칼제비 보쌈,0년 0개월,0,0,"113,342
(.00)",0,0
한식,삼시네끼,1년 8개월,3,0,"71,326
(.00)",100.0,0.0
한식,담소 소사골 순대 육개장,9년 1개월,97,"540,966","134,600
(.00)",11.34,17.53
한식,진수곱창,1년 5개월,1,0,"84,700
(.00)",100.0,0.0
한식,쌈의정석,0년 0개월,0,0,"14,200
(.00)",0,0
한식,두둠치밥,0년 0개월,0,0,"6,500
(.00)",0,0
한식,사천찜닭,1년 0개월,0,0,"16,520
(.00)",0,0
한식,배달삼겹 맛있으면돼지,0년 0개월,0,0,"54,750
(.00)",0,0
한식,편백가원,0년 0개월,0,0,"136,640
(.00)",0,0
한식,곱품닭,0년 9개월,0,0,"140,600
(.00)",0,0
한식,대식가2900,0년 0개월,0,0,"107,500
(.00)",0,0
한식,우리만 가고싶은 한우곱창,0년 0개월,0,0,"63,250
(.00)",0,0
한식,서서방 숯불닭갈비 돼지갈비,0년 0개월,0,0,"109,010
(.00)",0,0
한식,오술차,5년 11개월,27,"289,277","58,850
(.00)",11.11,18.52
한식,제주생선구이 올래밥상,4년 9개월,4,0,"55,050
(.00)",0.0,50.0
한식,순례국밥,0년 0개월,0,0,"89,000
(.00)",0,0
한식,열라불라연탄집,1년 7개월,2,0,"80,000
(.00)",100.0,0.0
한식,불맛공장,0년 0개월,0,0,"56,650
(.00)",0,0
한식,등뼈연구소,0년 0개월,0,0,"5,400
(.00)",0,0
한식,내조국국밥,0년 0개월,0,0,"113,000
(.00)",0,0
한식,정성을다한갈비찜,0년 8개월,0,0,"31,250
(.00)",0,0
한식,나두락손만두,0년 0개월,0,0,"68,000
(.00)",0,0
한식,청년컵밥,0년 11개월,0,0,"24,100
(.00)",0,0
한식,야무진냄비,2년 7개월,4,0,"27,500
(.00)",50.0,0.0
한식,언양닭칼국수,1년 7개월,4,0,"91,900
(.00)",100.0,0.0
한식,동리장,0년 0개월,0,0,"76,800
(.00)",0,0
한식,낭만쭈꾸미,7년 4개월,9,"497,049","157,300
(.00)",22.22,66.67
한식,신의주찹쌀순대,13년 8개월,160,"434,069","96,570
(.00)",15.0,8.75
한식,청국장과보리밥,11년 1개월,14,"518,846","140,500
(.00)",0.0,21.43
한식,여우감자탕,2년 10개월,1,0,"124,350
(.00)",0.0,0.0
한식,흥부찜닭,2년 2개월,110,"92,470","84,753
(.00)",103.64,400.0
한식,창대한곱창,0년 3개월,6,0,"33,557
(.00)",100.0,0.0
한식,옥소반,0년 0개월,0,0,"131,534
(.00)",0,0
한식,진한설렁탕담다,7년 3개월,3,"116,813","101,554
(.00)",0.0,200.0
